"","answer","Relative","Foil1","Foil2","Foil3","Set","Target","vowel","voicing","place","manner","Foil1_Cons","Foil2_Cons","Foil3_Cons","Contrast1","Contrast2","Contrast3","TargetBroadManner","Foil1BroadManner","Foil2BroadManner","Foil3BroadManner","TargetARPABET","Foil1ARPABET","Foil2ARPABET","Foil3ARPABET","Relative_Easiness","Base-Ease","numVoicingFoils","numPlaceFoils","numMannerFoils","numMultiFoils"
"18","cop",-0.452,"pop","top","shop",10,"k","LB","voiceless","velar","stop","P","T","SH","Place","Place","2Features","Stop","Stop","Stop","Fricative","K","P","T","SH",-0.609,-1.093,0,2,0,1
"19","dab",-0.927,"fab","gab","nab",17,"d","LF","voiced","alveolar","stop","F","G","N","3Features","Place","Manner","Stop","Fricative","Stop","Sonorant","D","F","G","N",-0.964,-0.869,0,1,1,1
"20","dash",-0.695,"lash","bash","gash",3,"d","LF","voiced","alveolar","stop","L","B","G","Manner","Place","Place","Stop","Sonorant","Stop","Stop","D","L","D","G",-0.878,-0.781,0,2,1,0
"21","dead",-0.135,"said","red","led",18,"d","LF","voiced","alveolar","stop","S","R","L","2Features","Manner","Manner","Stop","Fricative","Sonorant","Sonorant","D","S","R","L",-0.159,-0.054,0,0,2,1
"22","dear",0.051,"beer","gear","tier",5,"d","HF","voiced","alveolar","stop","B","G","T","Place","Place","Voicing","Stop","Stop","Stop","Stop","D","B","G","T",-0.003,0.489,1,2,0,0
"23","dill",-0.425,"bill","till","gill",6,"d","HF","voiced","alveolar","stop","B","T","G","Place","Voicing","Place","Stop","Stop","Stop","Stop","D","B","T","G",-0.48,0.004,1,2,0,0
"24","doom",0.417,"boom","womb","room",8,"d","HB","voiced","alveolar","stop","B","W","R","Place","2Features","Manner","Stop","Stop","Sonorant","Sonorant","D","B","W","R",0.438,0.911,0,1,1,1
"25","dune",0.688,"boon","noon","moon",9,"d","HB","voiced","alveolar","stop","B","N","M","Place","Manner","2Features","Stop","Stop","Sonorant","Sonorant","D","B","N","M",0.71,1.197,0,1,1,1
"26","fab",0.146,"dab","gab","nab",17,"f","LF","voiceless","labiodental","fricative","D","G","N","3Features","3Features","3Features","Fricative","Stop","Stop","Sonorant","F","D","G","N",0.212,0.034,0,0,0,3
"27","fall",0.078,"ball","shawl","wall",1,"f","LB","voiceless","labiodental","fricative","B","SH","W","2Features","Place","2Features","Fricative","Stop","Fricative","Sonorant","F","B","SH","W",0.059,-0.623,0,1,0,2
